Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
24942688,"Assassin's Fate (The Fitz and the Fool, #3)",Robin Hobb,"Hobb, Robin",,7444257,9.78001E+12,0,4.64,HarperCollins Publishers,Hardcover,853,2017,2017,,29/09/2017,,,read,,,,1,,,0,,,,,
16096968,"The Core (The Demon Cycle, #5)",Peter V. Brett,"Brett, Peter V.",,345531507,9.78035E+12,5,4.17,Del Rey,Hardcover,781,2017,2017,,29/09/2017,,,read,,,,1,,,0,,,,,
25353286,Provenance,Ann Leckie,"Leckie, Ann",,,,0,3.84,Orbit,Kindle Edition,481,2017,2017,,29/09/2017,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
33503613,Machine Learning: New and Collected Stories,Hugh Howey,"Howey, Hugh",,1328767523,9.78133E+12,0,4.05,John Joseph Adams/Mariner Books,Paperback,352,2017,2017,,29/09/2017,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
34817927,"Star Wars: From a Certain Point of View (From a Certain Point of View, #1)",Elizabeth Schaefer,"Schaefer, Elizabeth","Ben Acker, Tom Angleberger, Jonathan Davis, Ben Blacker, Janina Gavankar, Jeffrey Brown, Jon Hamm, Jason Fry, Neil Patrick Harris, Christie Golden, January LaVoy, Saskia Maarleveld, Pierce Brown, Carol Monda, Ashley Eckstein, Mur Lafferty, Marc Thompson, Ken Liu, Griffin McElroy, John Jackson Miller, Kelly Sue DeConnick, Nnedi Okorafor, Daniel José Older, Ian Doescher, Mallory Ortberg, Madeleine Roux, Gary D. Schmidt, Matt Fraction, Cavan Scott, Sabaa Tahir, Kieron Gillen, Glen Weldon, Chuck Wendig, Gary Whitta, Meg Cabot, Pablo Hidalgo, Adam Christopher, Rae Carson, Zoraida Córdova, Delilah S. Dawson, Paul Dini, Alexander Freed, Claudia Gray, E.K. Johnston, Paul S. Kemp, Elizabeth Wein, Beth Revis, Greg Rucka, Charles Soule, Wil Wheaton, Renée Ahdieh",345511476,9.78035E+12,0,3.93,Del Rey,Hardcover,477,2017,2017,,29/09/2017,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
22374216,"The Farseer Trilogy 3-Book Bundle: Assassin's Apprentice, Royal Assassin, Assassin's Quest",Robin Hobb,"Hobb, Robin",,,,4,4.38,Del Rey,Kindle Edition,1952,2014,2011,,07/09/2017,,,read,,,,1,,,0,,,,,
944073,"The Blade Itself (The First Law, #1)",Joe Abercrombie,"Abercrombie, Joe",,575079797,9.78058E+12,4,4.16,Gollancz,Paperback,515,2007,2006,,07/09/2017,,,read,,,,1,,,0,,,,,
41865,"Twilight (Twilight, #1)",Stephenie Meyer,"Meyer, Stephenie",,316015849,9.78032E+12,2,3.61,"Little, Brown and Company",Paperback,501,2006,2005,,07/09/2017,,,read,,,,1,,,0,,,,,
7661,Next,Michael Crichton,"Crichton, Michael",,60872985,9.78006E+12,5,3.53,Harper,Hardcover,431,2006,2006,,07/09/2017,,,read,,,,1,,,0,,,,,
7679,The Terminal Man,Michael Crichton,"Crichton, Michael",,60092572,9.78006E+12,5,3.37,Avon,Paperback,266,2002,1972,,07/09/2017,,,read,,,,1,,,0,,,,,
6428887,Pirate Latitudes,Michael Crichton,"Crichton, Michael",,61929379,9.78006E+12,5,3.45,Harper,Hardcover,312,2009,2009,,07/09/2017,,,read,,,,1,,,0,,,,,
7667,Airframe,Michael Crichton,"Crichton, Michael",,99556316,9.7801E+12,4,3.72,Arrow Books,Paperback,431,2006,1996,,07/09/2017,,,read,,,,1,,,0,,,,,
24019186,"The Bands of Mourning (Mistborn, #6)",Brandon Sanderson,"Sanderson, Brandon",,765378574,9.78077E+12,0,4.39,Tor Books,Hardcover,447,2016,2016,,07/09/2017,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
28439513,"A Night Without Stars (Commonwealth Universe, #7)",Peter F. Hamilton,"Hamilton, Peter F.",,345547225,9.78035E+12,0,4.42,Del Rey,Hardcover,704,2016,2016,,07/09/2017,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
27276118,"Ninefox Gambit (The Machineries of Empire, #1)",Yoon Ha Lee,"Lee, Yoon Ha",,1781084491,9.78178E+12,0,3.83,Solaris,Paperback,319,2016,2016,,07/09/2017,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
